Customer ID,Age,Gender,Marital Status,Dependents,Location,Occupation,Claims (3yrs),Claim Type,Online Activity,Service Calls,Current Insurance,Coverage,Renewal,Premium (3yrs),,Fraudulent
CUST001,32,Male,Married,2,ZIP 12345,Professional,1,Auto Accident,Frequent,0,"Auto, Home",High,On-time,"$10,000 ",,1
CUST002,55,Female,Single,0,"City A, State B",Retired,0,None,Low,1,Auto,Medium,On-time,"$5,000 ",,0
CUST003,28,Male,Single,0,ZIP 54321,Student,2,Property Damage (Theft),High,2,None,-,Lapsed,"$10,001 ",,1
CUST004,22,Male,Married,1,"City A, State B",Student,1,Liability,Frequent,0,"Auto, Home",Partial,On-time,"$5,001 ",,1
CUST005,49,Female,Married,0,ZIP 12345,Software Engineer,2,Life,Low,1,Auto,Full,On-time,"$10,002 ",,1
CUST006,57,Male,Married,2,"City A, State B",Retired,0,Auto Accident,High,2,None,Full,Lapsed,"$5,002 ",,0
CUST007,63,Female,Married,1,ZIP 54321,Student,1,None,Frequent,0,"Auto, Home",Partial,On-time,"$10,003 ",,1
CUST008,27,Female,Single,3,ZIP 12345,Retired,2,Property Damage (Theft),High,1,Auto,Partial,On-time,"$5,003 ",,0
CUST009,34,Male,Single,0,ZIP 12345,Software Engineer,1,Liability,Low,2,None,Partial,Lapsed,"$10,004 ",,0
CUST010,74,Female,Married,1,"City A, State B",Business Man,0,Life,Frequent,0,"Auto, Home",Full,On-time,"$5,004 ",,0
CUST011,83,Female,Single,2,"City A, State B",Professional,0,Food,High,1,Auto,Partial,On-time,"$10,005 ",,0
CUST012,61,Male,Married,1,ZIP 12345,Student,1,Death,Low,2,None,Partial,Lapsed,"$5,005 ",,1
CUST013,24,Female,Single,4,ZIP 54321,Retired,2,Food,Frequent,0,"Auto, Home",Partial,On-time,"$10,006 ",,1
CUST014,47,Female,Married,0,ZIP 12345,Software Engineer,0,Death,High,1,Auto,Full,On-time,"$5,006 ",,1
CUST015,38,Male,Single,1,ZIP 12345,Business Man,1,Auto Accident,Low,2,None,Full,Lapsed,"$10,007 ",,0
CUST016,58,Female,Single,2,ZIP 12345,Professional,2,None,Frequent,0,"Auto, Home",Full,Lapsed,"$5,007 ",,0
CUST017,50,Female,Married,3,ZIP 54321,Retired,1,Property Damage (Theft),High,1,Auto,Full,On-time,"$10,008 ",,1
CUST018,40,Male,Married,5,"City A, State B",Student,2,Liability,Low,2,None,Full,On-time,"$5,008 ",,0
CUST019,41,Male,Single,0,ZIP 12345,Software Engineer,0,Life,Frequent,2,"Auto, Home",Full,Lapsed,"$10,009 ",,1
CUST020,62,Female,Married,1,"City A, State B",Retired,1,Liability,High,0,Auto,Full,On-time,"$5,009 ",,0
CUST021,32,Male,Single,2,ZIP 54321,Business Man,2,Life,Low,1,None,Full,On-time,"$10,010 ",,1
CUST022,52,Female,Married,3,ZIP 12345,Professional,0,Death,Frequent,2,"Auto, Home",Partial,Lapsed,"$5,010 ",,0
CUST023,57,Male,Single,4,ZIP 54321,Student,1,Food,High,0,Auto,Partial,On-time,"$10,011 ",,1
CUST024,42,Female,Single,5,"City A, State B",Retired,2,Auto Accident,Low,1,None,Full,On-time,"$5,011 ",,0
CUST025,71,Female,Single,0,ZIP 12345,Business Man,0,None,Frequent,2,"Auto, Home",Full,Lapsed,"$10,012 ",,1
CUST026,63,Male,Married,1,ZIP 54321,Software Engineer,1,Liability,Low,0,Auto,Partial,On-time,"$5,012 ",,0
CUST027,68,Female,Single,1,"City A, State B",Retired,2,Property Damage (Theft),High,1,None,Full,On-time,"$10,013 ",,0
CUST028,53,Female,Single,2,ZIP 12345,Student,0,Liability,Frequent,2,"Auto, Home",Full,Lapsed,"$5,013 ",,0
CUST029,52,Female,Single,0,"City A, State B",Professional,1,Life,Low,0,Auto,Partial,On-time,"$10,014 ",,0
CUST030,31,Female,Single,1,ZIP 54321,Student,2,Food,High,1,None,Partial,On-time,"$5,014 ",,0
CUST031,29,Male,Married,2,"City A, State B",Retired,0,Death,Frequent,2,"Auto, Home",Partial,Lapsed,"$10,015 ",,0
CUST032,35,Female,Single,3,ZIP 12345,Professional,1,Property Damage (Theft),High,0,Auto,Full,On-time,"$5,015 ",,1
CUST033,45,Female,Single,0,"City A, State B",Business Man,2,Liability,Low,1,None,Partial,On-time,"$10,016 ",,1
